name,pos_detail,team_full,fa_type,snap_pct,age,prior_apy,prior_gtd,team,pos_group,slug
Brenton Strange,TE,Jaguars,UFA,51.4,27.0,1528586.0,3224717.0,JAX,TE,brenton-strange
Juice Scruggs,C,Lions,UFA,30.3,27.0,1524777.0,3212948.0,DET,OL,juice-scruggs
Marvin Mims,WR,Broncos,UFA,33.2,25.0,1517159.0,3189399.0,DEN,WR,marvin-mims
Martin Emerson,CB,Saints,UFA,0.0,27.0,1515000.0,650000.0,NO,CB,martin-emerson
Calvin Austin III,WR,Giants,UFA,43.3,28.0,1500000.0,450000.0,NYG,WR,calvin-austin-iii
Johnny Mundt,TE,Eagles,Void,33.8,33.0,1500000.0,750000.0,PHI,TE,johnny-mundt
DeAngelo Malone,EDGE,Falcons,UFA,1.7,28.0,1500000.0,215000.0,ATL,EDGE,deangelo-malone
Jake Moody,K,Commanders,UFA,18.8,28.0,1500000.0,125000.0,WAS,ST,jake-moody
Dawand Jones,RT,Browns,UFA,13.2,26.0,1500000.0,1245000.0,CLE,OL,dawand-jones
Tony Jefferson,S,Chargers,UFA,48.3,35.0,1500000.0,1400000.0,LAC,S,tony-jefferson
Jonathan Ford,IDL,Packers,UFA,11.6,29.0,1500000.0,100000.0,GB,IDL,jonathan-ford
Tycen Anderson,S,Broncos,UFA,5.9,28.0,1500000.0,650000.0,DEN,S,tycen-anderson
Josh Johnson,QB,Bengals,UFA,13.1,41.0,1500000.0,200000.0,CIN,QB,josh-johnson
Storm Norton,RT,Falcons,UFA,0.0,33.0,1500000.0,500000.0,ATL,OL,storm-norton
Matt Pryor,C,Cardinals,UFA,11.6,33.0,1487500.0,187500.0,ARI,OL,matt-pryor
Darnell Savage Jr.,S,Steelers,UFA,24.2,30.0,1487500.0,187500.0,PIT,S,darnell-savage-jr
Jerry Tillery,IDL,Colts,UFA,36.2,31.0,1487500.0,937500.0,IND,IDL,jerry-tillery
Chukwuma Okorafor,RT,Jets,UFA,0.0,30.0,1487500.0,1100000.0,NYJ,OL,chukwuma-okorafor
Jamaree Salyer,RG,Dolphins,UFA,39.3,27.0,1487500.0,187500.0,MIA,OL,jamaree-salyer
Jason Sanders,K,Giants,UFA,0.0,32.0,1487500.0,300000.0,NYG,ST,jason-sanders
Dan Feeney,LG,Buccaneers,UFA,58.8,33.0,1487500.0,1000000.0,TB,OL,dan-feeney
J.J. Jansen,LS,Panthers,UFA,28.6,41.0,1487500.0,1262500.0,CAR,ST,jj-jansen
Johnny Hekker,P,Vikings,UFA,28.8,37.0,1487500.0,1262500.0,MIN,ST,johnny-hekker
Lil'Jordan Humphrey,WR,Broncos,UFA,28.7,29.0,1487500.0,87500.0,DEN,WR,liljordan-humphrey
Jon Weeks,LS,49ers,UFA,29.2,41.0,1487500.0,1212500.0,SF,ST,jon-weeks
Marquez Valdes-Scantling,WR,Cowboys,UFA,31.8,33.0,1487500.0,187500.0,DAL,WR,marquez-valdes-scantling
Morgan Cox,LS,Titans,UFA,28.2,41.0,1487500.0,1262500.0,TEN,ST,morgan-cox
Lucas Patrick,LG,Giants,UFA,2.1,34.0,1487500.0,262500.0,NYG,OL,lucas-patrick
David Quessenberry,RT,Rams,UFA,1.6,37.0,1487500.0,1262500.0,LAR,OL,david-quessenberry
Chuck Clark,S,Lions,UFA,37.5,32.0,1487500.0,50000.0,DET,S,chuck-clark
Avonte Maddox,CB,Lions,UFA,31.0,31.0,1487500.0,687500.0,DET,CB,avonte-maddox
David Moore,WR,Panthers,UFA,7.6,32.0,1487500.0,0.0,CAR,WR,david-moore
Zane Gonzalez,K,Dolphins,UFA,17.7,32.0,1487500.0,100000.0,MIA,ST,zane-gonzalez
Austin Corbett,C,Bills,UFA,63.4,32.0,1487500.0,1262500.0,BUF,OL,austin-corbett
Bradley Pinion,P,Dolphins,UFA,39.8,33.0,1487500.0,1262500.0,MIA,ST,bradley-pinion
Aaron Stinnie,LG,Giants,UFA,5.2,33.0,1487500.0,62500.0,NYG,OL,aaron-stinnie
Trenton Scott,RT,Commanders,UFA,7.8,33.0,1487500.0,100000.0,WAS,OL,trenton-scott
Jeremy McNichols,RB,Commanders,UFA,32.0,32.0,1487500.0,562500.0,WAS,RB,jeremy-mcnichols
Chris Manhertz,TE,Giants,UFA,18.1,35.0,1487500.0,262500.0,NYG,TE,chris-manhertz
Laquon Treadwell,WR,Colts,UFA,3.4,32.0,1487500.0,437500.0,IND,WR,laquon-treadwell
J.T. Gray,S,Eagles,UFA,0.0,31.0,1487500.0,350000.0,PHI,S,jt-gray
Derrick Nnadi,IDL,Colts,UFA,29.6,31.0,1487500.0,537500.0,IND,IDL,derrick-nnadi
Lonnie Johnson Jr.,S,Dolphins,UFA,28.5,32.0,1487500.0,187500.0,MIA,S,lonnie-johnson-jr
Casey Kreiter,LS,Cardinals,UFA,26.9,37.0,1487500.0,1262500.0,ARI,ST,casey-kreiter
Andrew Beck,TE,Jets,UFA,10.5,31.0,1487500.0,1262500.0,NYJ,TE,andrew-beck
Corey Levin,C,Falcons,UFA,18.5,33.0,1485000.0,0.0,ATL,OL,corey-levin
Kentavius Street,EDGE,Bears,UFA,19.6,31.0,1480000.0,100000.0,CHI,EDGE,kentavius-street
Mitch Wishnowsky,P,Bills,UFA,21.4,35.0,1475000.0,150000.0,BUF,ST,mitch-wishnowsky
Starling Thomas V,CB,Cardinals,UFA,0.0,27.0,1475000.0,325000.0,ARI,CB,starling-thomas-v
Tyler Ott,LS,Commanders,UFA,26.4,35.0,1463333.0,1610000.0,WAS,ST,tyler-ott
Brandon Allen,QB,Giants,UFA,4.6,35.0,1450000.0,250000.0,NYG,QB,brandon-allen
Matt Dickerson,IDL,Jaguars,UFA,17.9,32.0,1450000.0,100000.0,JAX,IDL,matt-dickerson
Deatrich Wise,EDGE,Commanders,UFA,4.5,33.0,1450000.0,75000.0,WAS,EDGE,deatrich-wise
Tyler Steen,RT,Eagles,UFA,95.7,27.0,1437610.0,1182136.0,PHI,OL,tyler-steen
Sydney Brown,S,Falcons,UFA,22.1,27.0,1437277.0,1181168.0,ATL,S,sydney-brown
